Морозовск,27644,morozovsk
Новочеркасск,169039,novocherkassk
Новошахтинск,111087,novoshahtinsk
Пролетарск,20267,proletarsk
Ростов-на-Дону,1091544,rostov-na-donu
Сальск,61312,salsk
Семикаракорск,23884,semikarakorsk
Таганрог,257692,taganrog
Цимлянск,15029,tsimlyansk
Шахты,240152,shahty
Касимов,33494,kasimov
Новомичуринск,19309,novomichurinsk
Рыбное,18378,rybnoe
Ряжск,21676,ryazhsk
Рязань,525062,ryazan
Сасово,28117,sasovo
Скопин,30374,skopin
Жигулевск,57565,zhigulevsk
Кинель,34472,kinel
Нефтегорск,18732,samarskaya_oblast_neftegorsk
Новокуйбышевск,108449,novokuybyshevsk
Октябрьск,27244,oktyabrsk
Отрадный,47709,otradnyy
Похвистнево,28181,pohvistnevo
Самара,1164900,samara
Сызрань,178773,syzran
Тольятти,719484,tolyatti
Чапаевск,72689,chapaevsk
Аткарск,25620,atkarsk
Балаково,199576,balakovo
Балашов,82222,balashov
Вольск,66520,volsk
Ершов,21447,ershov
Калининск,16442,kalininsk
Маркс,31535,marks
Новоузенск,17015,novouzensk
Петровск,31158,petrovsk
Пугачев,41705,pugachev
Ртищево,41295,rtischevo
Саратов,836900,saratov
Энгельс,202838,engels
Корсаков,33526,korsakov
Оха,23007,oha
Поронайск,16461,poronaysk
Холмск,30936,holmsk
Южно-Сахалинск,181727,yuzhno-sahalinsk
Алапаевск,38198,alapaevsk
Артемовский,32878,sverdlovskaya_oblast_artemovskiy
Асбест,70067,asbest
Богданович,31752,bogdanovich
Верхняя Пышма,58707,verhnyaya_pyshma
Верхняя Салда,46240,verhnyaya_salda
Дегтярск,15521,degtyarsk
Екатеринбург,1377738,ekaterinburg
Ивдель,17764,ivdel
Ирбит,38352,irbit
Каменск-Уральский,174710,kamensk-uralskiy
Камышлов,26875,kamyshlov
Карпинск,29118,karpinsk
Качканар,42563,kachkanar
Кировград,21959,kirovgrad
Краснотурьинск,59701,krasnoturinsk
Красноуральск,24973,krasnouralsk
Красноуфимск,39765,krasnoufimsk
Кушва,33027,kushva
Лесной,52464,sverdlovskaya_oblast_lesnoy
Невьянск,25147,nevyansk
Нижний Тагил,361883,nizhniy_tagil
Нижняя Салда,17969,nizhnyaya_salda
Нижняя Тура,21596,nizhnyaya_tura
Новоуральск,91813,novouralsk
Первоуральск,149800,pervouralsk
Полевской,64316,polevskoy
Ревда,61713,sverdlovskaya_oblast_revda
Реж,38709,rezh
Североуральск,29279,severouralsk
Серов,99381,serov
Среднеуральск,20357,sredneuralsk
Сухой Лог,34836,suhoy_log
Сысерть,20594,sysert
Тавда,35421,tavda
Талица,18339,talitsa
Туринск,17990,turinsk
Алагир,20949,alagir
Ардон,18774,ardon
Беслан,36724,beslan
Владикавказ,311635,vladikavkaz
Моздок,38748,mozdok
Вязьма,57103,vyazma
Гагарин,31721,gagarin
Десногорск,29677,desnogorsk
Рославль,54898,roslavl
Сафоново,46116,smolenskaya_oblast_safonovo
Смоленск,326863,smolensk
Ярцево,47853,yartsevo
Благодарный,32736,blagodarnyy
Буденновск,64628,budennovsk
Георгиевск,72126,georgievsk
Ессентуки,100969,essentuki
Железноводск,24496,zheleznovodsk
Зеленокумск,35790,zelenokumsk
Изобильный,40546,izobilnyy
Ипатово,26055,ipatovo
Кисловодск,128502,kislovodsk
Лермонтов,22540,lermontov
Минеральные Воды,76715,mineralnye_vody
Михайловск,71018,stavropolskiy_kray_mihaylovsk
Невинномысск,118351,nevinnomyssk
Нефтекумск,27700,neftekumsk
Новоалександровск,26759,novoaleksandrovsk
Новопавловск,26556,novopavlovsk
Пятигорск,142397,pyatigorsk
Светлоград,38520,svetlograd
Ставрополь,398266,stavropol
Жердевка,15211,zherdevka
Кирсанов,17240,kirsanov
Котовск,31851,kotovsk
