Город;ID;URL_имя;Категория;Количество
Новокуйбышевск;108449;novokuybyshevsk;pomesh;26
Новокуйбышевск;108449;novokuybyshevsk;sklady;14
Новокуйбышевск;108449;novokuybyshevsk;magaziny;18
Новокуйбышевск;108449;novokuybyshevsk;proizvodstvo;21
Октябрьск;27244;oktyabrsk;kvartiry;144
Октябрьск;27244;oktyabrsk;dom;150
Октябрьск;27244;oktyabrsk;dachi;5
Октябрьск;27244;oktyabrsk;kottedzhi;3
Октябрьск;27244;oktyabrsk;taunhaus;99
Октябрьск;27244;oktyabrsk;zemlya_izhs;93
Октябрьск;27244;oktyabrsk;zemlya_selhoznaznacheniya;7
Октябрьск;27244;oktyabrsk;zemlya_promnaznacheniya;967
Октябрьск;27244;oktyabrsk;garazhi_m;32
Октябрьск;27244;oktyabrsk;ofisy;3
Октябрьск;27244;oktyabrsk;pomesh;6
Октябрьск;27244;oktyabrsk;sklady;904
Октябрьск;27244;oktyabrsk;magaziny;2
Октябрьск;27244;oktyabrsk;proizvodstvo;1
Отрадный;47709;otradnyy;kvartiry;375
Отрадный;47709;otradnyy;dom;91
Отрадный;47709;otradnyy;dachi;47
Отрадный;47709;otradnyy;kottedzhi;3
Отрадный;47709;otradnyy;taunhaus;39
Отрадный;47709;otradnyy;zemlya_izhs;128
Отрадный;47709;otradnyy;zemlya_selhoznaznacheniya;63
Отрадный;47709;otradnyy;zemlya_promnaznacheniya;1
Отрадный;47709;otradnyy;garazhi_m;69
Отрадный;47709;otradnyy;ofisy;4
Отрадный;47709;otradnyy;pomesh;7
Отрадный;47709;otradnyy;sklady;2
Отрадный;47709;otradnyy;magaziny;4
Отрадный;47709;otradnyy;proizvodstvo;3
Похвистнево;28181;pohvistnevo;kvartiry;134
Похвистнево;28181;pohvistnevo;dom;173
Похвистнево;28181;pohvistnevo;dachi;2
Похвистнево;28181;pohvistnevo;kottedzhi;4
Похвистнево;28181;pohvistnevo;taunhaus;685
Похвистнево;28181;pohvistnevo;zemlya_izhs;50
Похвистнево;28181;pohvistnevo;zemlya_selhoznaznacheniya;14
Похвистнево;28181;pohvistnevo;zemlya_promnaznacheniya;1
Похвистнево;28181;pohvistnevo;garazhi_m;44
Похвистнево;28181;pohvistnevo;ofisy;5
Похвистнево;28181;pohvistnevo;pomesh;9
Похвистнево;28181;pohvistnevo;sklady;3
Похвистнево;28181;pohvistnevo;magaziny;11
Похвистнево;28181;pohvistnevo;proizvodstvo;2
Самара;1164900;samara;kvartiry;16004
Самара;1164900;samara;dom;1346
Самара;1164900;samara;dachi;486
Самара;1164900;samara;kottedzhi;340
Самара;1164900;samara;taunhaus;47
Самара;1164900;samara;zemlya_izhs;1124
Самара;1164900;samara;zemlya_selhoznaznacheniya;699
Самара;1164900;samara;zemlya_promnaznacheniya;39
Самара;1164900;samara;garazhi_m;1587
Самара;1164900;samara;ofisy;580
Самара;1164900;samara;pomesh;598
Самара;1164900;samara;sklady;85
Самара;1164900;samara;magaziny;572
Самара;1164900;samara;proizvodstvo;100
Сызрань;178773;syzran;kvartiry;1197
Сызрань;178773;syzran;dom;479
Сызрань;178773;syzran;dachi;50
Сызрань;178773;syzran;kottedzhi;24
Сызрань;178773;syzran;taunhaus;9
Сызрань;178773;syzran;zemlya_izhs;283
Сызрань;178773;syzran;zemlya_selhoznaznacheniya;81
Сызрань;178773;syzran;zemlya_promnaznacheniya;6
Сызрань;178773;syzran;garazhi_m;194
Сызрань;178773;syzran;ofisy;11
Сызрань;178773;syzran;pomesh;37
Сызрань;178773;syzran;sklady;11
Сызрань;178773;syzran;magaziny;19
Сызрань;178773;syzran;proizvodstvo;23
Тольятти;719484;tolyatti;kvartiry;5346
Тольятти;719484;tolyatti;dom;655
Тольятти;719484;tolyatti;dachi;648
Тольятти;719484;tolyatti;kottedzhi;94
Тольятти;719484;tolyatti;taunhaus;34
Тольятти;719484;tolyatti;zemlya_izhs;568
Тольятти;719484;tolyatti;zemlya_selhoznaznacheniya;351
Тольятти;719484;tolyatti;zemlya_promnaznacheniya;55
Тольятти;719484;tolyatti;garazhi_m;1031
Тольятти;719484;tolyatti;ofisy;160
Тольятти;719484;tolyatti;pomesh;231
Тольятти;719484;tolyatti;sklady;50
Тольятти;719484;tolyatti;magaziny;130
Тольятти;719484;tolyatti;proizvodstvo;78
Чапаевск;72689;chapaevsk;kvartiry;427
Чапаевск;72689;chapaevsk;dom;185
Чапаевск;72689;chapaevsk;dachi;95
Чапаевск;72689;chapaevsk;kottedzhi;13
Чапаевск;72689;chapaevsk;taunhaus;81
Чапаевск;72689;chapaevsk;zemlya_izhs;167
Чапаевск;72689;chapaevsk;zemlya_selhoznaznacheniya;70
Чапаевск;72689;chapaevsk;zemlya_promnaznacheniya;1
Чапаевск;72689;chapaevsk;garazhi_m;57
Чапаевск;72689;chapaevsk;ofisy;5
Чапаевск;72689;chapaevsk;pomesh;16
Чапаевск;72689;chapaevsk;sklady;5
Чапаевск;72689;chapaevsk;magaziny;12
Чапаевск;72689;chapaevsk;proizvodstvo;4
Аткарск;25620;atkarsk;kvartiry;25
Аткарск;25620;atkarsk;dom;54
Аткарск;25620;atkarsk;dachi;247
Аткарск;25620;atkarsk;kottedzhi;2
Аткарск;25620;atkarsk;taunhaus;804
Аткарск;25620;atkarsk;zemlya_izhs;9
Аткарск;25620;atkarsk;zemlya_selhoznaznacheniya;1
Аткарск;25620;atkarsk;zemlya_promnaznacheniya;113
Аткарск;25620;atkarsk;garazhi_m;7
Аткарск;25620;atkarsk;ofisy;974
Аткарск;25620;atkarsk;pomesh;4
Аткарск;25620;atkarsk;sklady;3
Аткарск;25620;atkarsk;magaziny;1
Аткарск;25620;atkarsk;proizvodstvo;4
Балаково;199576;balakovo;kvartiry;1516
Балаково;199576;balakovo;dom;230
Балаково;199576;balakovo;dachi;102
Балаково;199576;balakovo;kottedzhi;4
Балаково;199576;balakovo;taunhaus;813
Балаково;199576;balakovo;zemlya_izhs;172
Балаково;199576;balakovo;zemlya_selhoznaznacheniya;69
Балаково;199576;balakovo;zemlya_promnaznacheniya;10
Балаково;199576;balakovo;garazhi_m;122
Балаково;199576;balakovo;ofisy;17
Балаково;199576;balakovo;pomesh;57
Балаково;199576;balakovo;sklady;14
Балаково;199576;balakovo;magaziny;27
Балаково;199576;balakovo;proizvodstvo;17
Балашов;82222;balashov;kvartiry;442
Балашов;82222;balashov;dom;242
Балашов;82222;balashov;dachi;11
Балашов;82222;balashov;kottedzhi;7
Балашов;82222;balashov;taunhaus;44
Балашов;82222;balashov;zemlya_izhs;39
Балашов;82222;balashov;zemlya_selhoznaznacheniya;5
Балашов;82222;balashov;zemlya_promnaznacheniya;18
Балашов;82222;balashov;garazhi_m;22
Балашов;82222;balashov;ofisy;8
Балашов;82222;balashov;pomesh;14
Балашов;82222;balashov;sklady;5
Балашов;82222;balashov;magaziny;13
Балашов;82222;balashov;proizvodstvo;1
Вольск;66520;volsk;kvartiry;342
Вольск;66520;volsk;dom;122
Вольск;66520;volsk;dachi;4
Вольск;66520;volsk;kottedzhi;3
Вольск;66520;volsk;taunhaus;1
Вольск;66520;volsk;zemlya_izhs;37
Вольск;66520;volsk;zemlya_selhoznaznacheniya;3
Вольск;66520;volsk;zemlya_promnaznacheniya;3
Вольск;66520;volsk;garazhi_m;14
Вольск;66520;volsk;ofisy;5
Вольск;66520;volsk;pomesh;24
Вольск;66520;volsk;sklady;6
Вольск;66520;volsk;magaziny;5
Вольск;66520;volsk;proizvodstvo;7
Ершов;21447;ershov;kvartiry;41
Ершов;21447;ershov;dom;53
Ершов;21447;ershov;dachi;136
Ершов;21447;ershov;kottedzhi;194
Ершов;21447;ershov;taunhaus;797
Ершов;21447;ershov;zemlya_izhs;3
Ершов;21447;ershov;zemlya_selhoznaznacheniya;5
Ершов;21447;ershov;zemlya_promnaznacheniya;2
Ершов;21447;ershov;garazhi_m;4
Ершов;21447;ershov;ofisy;4
Ершов;21447;ershov;pomesh;8
Ершов;21447;ershov;sklady;1
Ершов;21447;ershov;magaziny;6
Ершов;21447;ershov;proizvodstvo;1
Калининск;16442;kalininsk;kvartiry;47
Калининск;16442;kalininsk;dom;70
Калининск;16442;kalininsk;dachi;122
Калининск;16442;kalininsk;kottedzhi;155
Калининск;16442;kalininsk;taunhaus;942
Калининск;16442;kalininsk;zemlya_izhs;8
Калининск;16442;kalininsk;zemlya_selhoznaznacheniya;1
Калининск;16442;kalininsk;zemlya_promnaznacheniya;3
Калининск;16442;kalininsk;garazhi_m;3
Калининск;16442;kalininsk;ofisy;953
Калининск;16442;kalininsk;pomesh;3
Калининск;16442;kalininsk;sklady;1
Калининск;16442;kalininsk;magaziny;74
Калининск;16442;kalininsk;proizvodstvo;110
Маркс;31535;marks;kvartiry;215
Маркс;31535;marks;dom;234
Маркс;31535;marks;dachi;45
Маркс;31535;marks;kottedzhi;9
Маркс;31535;marks;taunhaus;25
Маркс;31535;marks;zemlya_izhs;68
Маркс;31535;marks;zemlya_selhoznaznacheniya;36
Маркс;31535;marks;zemlya_promnaznacheniya;6
Маркс;31535;marks;garazhi_m;11
Маркс;31535;marks;ofisy;6
Маркс;31535;marks;pomesh;18
Маркс;31535;marks;sklady;1
